incumbent,party,votes,votes_percent,candidate_name,description,geography,precincts_reporting,slug,race_name,scraped_datetime,source
False,Dem,351292,0.2972,Jose S. Altamirano,,,"89.6% (6,755 of 7,536) precincts reporting",board-of-equalization-district-1-districtwide-results,Board of Equalization District 1 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,830788,0.7028,Ted Gaines,,,"89.6% (6,755 of 7,536) precincts reporting",board-of-equalization-district-1-districtwide-results,Board of Equalization District 1 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,887154,0.7236,Sally J. Lieber,,,"81.7% (6,061 of 7,417) precincts reporting",board-of-equalization-district-2-districtwide-results,Board of Equalization District 2 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,338854,0.2764,Peter Coe Verbica,,,"81.7% (6,061 of 7,417) precincts reporting",board-of-equalization-district-2-districtwide-results,Board of Equalization District 2 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,380,0.4158,Tony Vazquez,,,"100% (3,680 of 3,680) precincts reporting",board-of-equalization-district-3-districtwide-results,Board of Equalization District 3 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,NPP,534,0.5842,Y. Marie Manvel,,,"100% (3,680 of 3,680) precincts reporting",board-of-equalization-district-3-districtwide-results,Board of Equalization District 3 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,290978,0.2688,David Dodson,,,"94.9% (6,617 of 6,970) precincts reporting",board-of-equalization-district-4-districtwide-results,Board of Equalization District 4 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,791402,0.7312,Mike Schaefer,,,"94.9% (6,617 of 6,970) precincts reporting",board-of-equalization-district-4-districtwide-results,Board of Equalization District 4 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,972752,0.2789,Alex Padilla,,,"91.9% (23,528 of 25,603) precincts reporting",u-s-senate-partial-unexpired-term-statewide-results,U.S. Senate (Partial/Unexpired Term) - Statewide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,2515245,0.7211,Mark P. Meuser,,,"91.9% (23,528 of 25,603) precincts reporting",u-s-senate-partial-unexpired-term-statewide-results,U.S. Senate (Partial/Unexpired Term) - Statewide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,37848,0.2672,Belle Starr Sandwith,,,100% (547 of 547) precincts reporting,state-assembly-district-1-districtwide-results,State Assembly District 1 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,103807,0.7328,Megan Dahle,,,100% (547 of 547) precincts reporting,state-assembly-district-1-districtwide-results,State Assembly District 1 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,88616,0.6863,Jim Wood,,,100% (759 of 759) precincts reporting,state-assembly-district-2-districtwide-results,State Assembly District 2 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,40512,0.3137,Charlotte Svolos,,,100% (759 of 759) precincts reporting,state-assembly-district-2-districtwide-results,State Assembly District 2 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,57579,0.2923,David Leon Zink,,,100% (396 of 396) precincts reporting,state-assembly-district-3-districtwide-results,State Assembly District 3 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,139384,0.7077,James Gallagher,,,100% (396 of 396) precincts reporting,state-assembly-district-3-districtwide-results,State Assembly District 3 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,18646,0.6449,Cecilia Aguiar-Curry,,,87.4% (347 of 397) precincts reporting,state-assembly-district-4-districtwide-results,State Assembly District 4 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,10265,0.3551,Bryan Pritchard,,,87.4% (347 of 397) precincts reporting,state-assembly-district-4-districtwide-results,State Assembly District 4 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,164,0.519,Rebecca L Chenoweth,,,100% (447 of 447) precincts reporting,state-assembly-district-5-districtwide-results,State Assembly District 5 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,152,0.481,Joe Patterson,,,100% (447 of 447) precincts reporting,state-assembly-district-5-districtwide-results,State Assembly District 5 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,14750,0.3965,Kevin McCarty,,,100% (210 of 210) precincts reporting,state-assembly-district-6-districtwide-results,State Assembly District 6 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,22450,0.6035,Cathy Cook,,,100% (210 of 210) precincts reporting,state-assembly-district-6-districtwide-results,State Assembly District 6 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,19846,0.4925,Ken Cooley,,,100% (224 of 224) precincts reporting,state-assembly-district-7-districtwide-results,State Assembly District 7 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,20454,0.5075,Josh Hoover,,,100% (224 of 224) precincts reporting,state-assembly-district-7-districtwide-results,State Assembly District 7 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,36927,0.7289,Jim Patterson,,,89.4% (262 of 293) precincts reporting,state-assembly-district-8-districtwide-results,State Assembly District 8 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Lib,13731,0.2711,Thomas Edward Nichols,,,89.4% (262 of 293) precincts reporting,state-assembly-district-8-districtwide-results,State Assembly District 8 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,22456,0.3307,Mushtaq A Tahirkheli,,,43% (135 of 314) precincts reporting,state-assembly-district-9-districtwide-results,State Assembly District 9 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,45458,0.6693,Heath Flora,,,43% (135 of 314) precincts reporting,state-assembly-district-9-districtwide-results,State Assembly District 9 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,19139,0.5322,Eric Guerra,,,100% (190 of 190) precincts reporting,state-assembly-district-10-districtwide-results,State Assembly District 10 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,16821,0.4678,Stephanie Nguyen,,,100% (190 of 190) precincts reporting,state-assembly-district-10-districtwide-results,State Assembly District 10 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,25034,0.6803,Lori D Wilson,,,100% (346 of 346) precincts reporting,state-assembly-district-11-districtwide-results,State Assembly District 11 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,NPP,11767,0.3197,Jenny Leilani Callison,,,100% (346 of 346) precincts reporting,state-assembly-district-11-districtwide-results,State Assembly District 11 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,4621,0.5021,Sara Aminzadeh,,,100% (388 of 388) precincts reporting,state-assembly-district-12-districtwide-results,State Assembly District 12 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,4582,0.4979,Damon Connolly,,,100% (388 of 388) precincts reporting,state-assembly-district-12-districtwide-results,State Assembly District 12 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,0,0.0,Veronica Vargas,,,0% (0 of 211) precincts reporting,state-assembly-district-13-districtwide-results,State Assembly District 13 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,0,0.0,Carlos Villapudua,,,0% (0 of 211) precincts reporting,state-assembly-district-13-districtwide-results,State Assembly District 13 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,83133,0.7333,Buffy Wicks,,,83.4% (242 of 290) precincts reporting,state-assembly-district-14-districtwide-results,State Assembly District 14 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,30230,0.2667,Richard Kinney,,,83.4% (242 of 290) precincts reporting,state-assembly-district-14-districtwide-results,State Assembly District 14 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,168062,0.7333,Tim Grayson,,,100% (574 of 574) precincts reporting,state-assembly-district-15-districtwide-results,State Assembly District 15 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,61113,0.2667,Janell Elizabeth Proctor,,,100% (574 of 574) precincts reporting,state-assembly-district-15-districtwide-results,State Assembly District 15 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,121396,0.7333,Rebecca Bauer-Kahan,,,79.9% (319 of 399) precincts reporting,state-assembly-district-16-districtwide-results,State Assembly District 16 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,44143,0.2667,Joseph A. Rubay,,,79.9% (319 of 399) precincts reporting,state-assembly-district-16-districtwide-results,State Assembly District 16 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,102,0.4904,David Campos,,,100% (298 of 298) precincts reporting,state-assembly-district-17-districtwide-results,State Assembly District 17 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,106,0.5096,Matt Haney,,,100% (298 of 298) precincts reporting,state-assembly-district-17-districtwide-results,State Assembly District 17 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,0,0.0,Mia Bonta,,,0.9% (1 of 108) precincts reporting,state-assembly-district-18-districtwide-results,State Assembly District 18 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,0,0.0,Mindy Pechenuk,,,0.9% (1 of 108) precincts reporting,state-assembly-district-18-districtwide-results,State Assembly District 18 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,246,0.3892,Phil Ting,,,100% (258 of 258) precincts reporting,state-assembly-district-19-districtwide-results,State Assembly District 19 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,386,0.6108,Karsten Weide,,,100% (258 of 258) precincts reporting,state-assembly-district-19-districtwide-results,State Assembly District 19 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,0,0.0,Shawn Kumagai,,,0% (0 of 257) precincts reporting,state-assembly-district-20-districtwide-results,State Assembly District 20 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,0,0.0,Liz Ortega,,,0% (0 of 257) precincts reporting,state-assembly-district-20-districtwide-results,State Assembly District 20 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,1728,0.6667,Giselle Hale,,,100% (184 of 184) precincts reporting,state-assembly-district-21-districtwide-results,State Assembly District 21 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,864,0.3333,Diane Papan,,,100% (184 of 184) precincts reporting,state-assembly-district-21-districtwide-results,State Assembly District 21 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,131910,0.7333,Jessica Self,,,100% (161 of 161) precincts reporting,state-assembly-district-22-districtwide-results,State Assembly District 22 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,47966,0.2667,Juan Alanis,,,100% (161 of 161) precincts reporting,state-assembly-district-22-districtwide-results,State Assembly District 22 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,2286,0.6769,Marc Berman,,,44.1% (104 of 236) precincts reporting,state-assembly-district-23-districtwide-results,State Assembly District 23 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,1091,0.3231,Tim Dec,,,44.1% (104 of 236) precincts reporting,state-assembly-district-23-districtwide-results,State Assembly District 23 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,1041,0.9621,Alex Lee,,,0% (0 of 137) precincts reporting,state-assembly-district-24-districtwide-results,State Assembly District 24 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,41,0.0379,Bob Brunton,,,0% (0 of 137) precincts reporting,state-assembly-district-24-districtwide-results,State Assembly District 24 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,103,0.038,Ash Kalra,,,0% (0 of 193) precincts reporting,state-assembly-district-25-districtwide-results,State Assembly District 25 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,2611,0.962,Ted Stroll,,,0% (0 of 193) precincts reporting,state-assembly-district-25-districtwide-results,State Assembly District 25 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Dem,1955,0.9712,Evan Low,,,0% (0 of 146) precincts reporting,state-assembly-district-26-districtwide-results,State Assembly District 26 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
False,Rep,58,0.0288,Tim Gorsulowsky,,,0% (0 of 146) precincts reporting,state-assembly-district-26-districtwide-results,State Assembly District 26 - Districtwide Results,2022-10-21T17:03:48.866924-07:00,kpcc
